model_key,gguf_file,tensor,dims,ggml_type,n_elements,is_shared_expert_gate,verdict
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.0.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.0.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.1.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.1.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.10.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.10.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.11.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.11.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.12.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.12.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.13.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.13.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.14.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.14.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.15.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.15.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.16.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.16.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.17.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.17.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.18.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.18.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.19.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.19.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.2.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.2.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.20.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.20.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.21.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.21.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.22.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.22.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.23.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.23.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.3.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.3.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.4.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.4.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.5.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.5.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.6.ffn_gate_inp.bias,32,F32,32,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.6.ffn_gate_inp.weight,2880x32,F32,92160,false,PASS
gpt-oss-20b-F16,gpt-oss-20b-F16.gguf,blk.7.ffn_gate_inp.bias,32,F32,32,false,PASS
